age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
36,Without-pay,33359,11th,16,Married-civ-spouse,Other-service,Unmarried,Black,Male,87733,902,53,Jamaica,>50K
89,Self-emp-not-inc,380290,11th,1,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,3757,5664,64,Canada,>50K
34,Never-worked,67167,10th,13,Married-civ-spouse,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,78,6224,27,Canada,<=50K
83,Without-pay,405684,10th,10,Separated,Tech-support,Unmarried,Black,Male,43041,1245,20,United-States,<=50K
18,State-gov,178729,Assoc-acdm,6,Never-married,Other-service,Unmarried,White,Male,2250,6453,1,Mexico,<=50K
38,Without-pay,86979,Assoc-voc,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,85916,4655,46,Canada,<=50K
22,State-gov,81630,Bachelors,12,Widowed,Craft-repair,Own-child,Black,Female,53570,6211,15,United-States,>50K
71,State-gov,143930,11th,8,Separated,Sales,Wife,Other,Female,72969,326,14,United-States,>50K
59,Local-gov,380651,Masters,11,Married-civ-spouse,Sales,Unmarried,Other,Male,45097,7126,36,Cuba,<=50K
34,Federal-gov,459166,HS-grad,13,Divorced,Sales,Own-child,Black,Female,67859,629,66,India,>50K
67,Without-pay,410727,Assoc-voc,13,Separated,Tech-support,Own-child,Amer-Indian-Eskimo,Male,65580,8924,65,Canada,>50K
55,State-gov,158461,Assoc-voc,2,Never-married,Craft-repair,Husband,Amer-Indian-Eskimo,Female,59464,9647,99,Canada,>50K
59,Without-pay,406371,Assoc-acdm,1,Separated,Craft-repair,Unmarried,White,Male,58221,7312,89,Mexico,>50K
21,Local-gov,145655,Assoc-acdm,11,Never-married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,28233,2574,59,Jamaica,>50K
45,Federal-gov,121288,HS-grad,4,Separated,Craft-repair,Not-in-family,Black,Male,64899,7305,77,Cuba,<=50K
30,Private,323079,Masters,5,Married-civ-spouse,Tech-support,Unmarried,Other,Male,62122,4369,92,Cuba,<=50K
86,Private,168480,Some-college,6,Divorced,Craft-repair,Not-in-family,Other,Male,83981,5873,93,Canada,>50K
38,Never-worked,284312,Some-college,13,Divorced,Sales,Wife,Asian-Pac-Islander,Male,76399,2126,2,Mexico,<=50K
74,Self-emp-not-inc,222814,Masters,3,Divorced,Other-service,Own-child,Amer-Indian-Eskimo,Male,28942,6308,75,Germany,<=50K
56,Private,383966,HS-grad,16,Married-civ-spouse,Tech-support,Own-child,Black,Male,62672,5960,29,Germany,<=50K
81,State-gov,57180,Assoc-voc,4,Widowed,Craft-repair,Wife,White,Male,89956,819,68,Germany,>50K
68,Private,143455,10th,9,Separated,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,63310,2284,17,Jamaica,>50K
77,State-gov,185668,Masters,1,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,3277,2274,84,United-States,<=50K
48,Without-pay,386672,10th,5,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,62887,1419,97,Cuba,<=50K
77,State-gov,438025,Some-college,4,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,72301,8533,32,Canada,<=50K
82,Without-pay,370569,Some-college,16,Married-civ-spouse,Other-service,Unmarried,Other,Female,5104,4960,80,Germany,>50K
29,State-gov,197113,Assoc-acdm,7,Divorced,Exec-managerial,Not-in-family,Black,Female,1671,1152,18,Jamaica,>50K
69,Private,131278,Assoc-acdm,10,Divorced,Craft-repair,Own-child,White,Male,41869,7438,86,Canada,>50K
22,State-gov,493544,Bachelors,12,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,45662,163,37,Cuba,<=50K
30,Federal-gov,252361,Some-college,2,Married-civ-spouse,Other-service,Unmarried,Other,Male,69172,805,59,India,<=50K
47,Without-pay,234121,HS-grad,11,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Male,31072,4502,83,United-States,>50K
39,Without-pay,199395,10th,3,Divorced,Prof-specialty,Own-child,White,Male,11182,7255,13,Cuba,<=50K
24,Private,367086,7th-8th,5,Divorced,Tech-support,Unmarried,Black,Male,25055,2777,85,Canada,<=50K
55,State-gov,354834,7th-8th,16,Never-married,Other-service,Husband,Amer-Indian-Eskimo,Female,43064,9609,15,India,<=50K
82,State-gov,333904,Assoc-acdm,9,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,68200,5705,23,United-States,>50K
81,Without-pay,198199,HS-grad,12,Widowed,Craft-repair,Husband,Other,Male,13384,1367,22,Jamaica,>50K
82,State-gov,17365,10th,11,Separated,Craft-repair,Own-child,Asian-Pac-Islander,Female,68463,3816,55,United-States,>50K
64,Private,25772,7th-8th,7,Never-married,Sales,Unmarried,Black,Female,18109,5206,33,Germany,>50K
70,Self-emp-not-inc,30451,Assoc-voc,10,Never-married,Sales,Not-in-family,Black,Male,62332,1390,41,Cuba,>50K
47,State-gov,425638,Masters,5,Separated,Other-service,Own-child,Other,Male,56184,8660,62,Canada,<=50K
20,Never-worked,289770,Some-college,5,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Male,98667,8030,41,United-States,<=50K
23,Local-gov,422382,Bachelors,6,Married-civ-spouse,Craft-repair,Own-child,Black,Male,65795,286,2,Mexico,>50K
35,Without-pay,416525,Some-college,15,Never-married,Craft-repair,Unmarried,Black,Female,27889,623,96,Canada,<=50K
18,Local-gov,154789,Assoc-acdm,5,Divorced,Craft-repair,Husband,Black,Female,76975,5994,34,Canada,>50K
55,Private,473951,Masters,5,Never-married,Tech-support,Own-child,Black,Male,79672,9796,6,United-States,>50K
72,Federal-gov,438240,Some-college,14,Separated,Sales,Wife,White,Male,49519,434,44,Cuba,>50K
72,Private,417547,Bachelors,4,Divorced,Prof-specialty,Husband,Other,Male,80774,6129,84,Mexico,>50K
79,Without-pay,94775,HS-grad,2,Never-married,Tech-support,Wife,Black,Female,74280,2413,73,United-States,>50K
62,Private,369400,7th-8th,11,Never-married,Prof-specialty,Wife,Black,Male,99001,8248,29,Germany,>50K
33,Self-emp-not-inc,345253,7th-8th,8,Separated,Other-service,Own-child,Other,Male,34465,8607,56,Jamaica,<=50K
69,State-gov,404196,Masters,14,Widowed,Exec-managerial,Wife,White,Female,1495,3658,43,India,>50K
62,State-gov,433508,10th,8,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,33820,3034,1,Jamaica,>50K
45,Never-worked,331500,Bachelors,13,Widowed,Tech-support,Wife,White,Male,16504,1381,46,Cuba,<=50K
43,Local-gov,80789,7th-8th,2,Separated,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,22549,9856,84,Mexico,<=50K
86,Self-emp-not-inc,407320,Assoc-acdm,13,Never-married,Exec-managerial,Husband,Black,Female,45861,1014,89,Canada,<=50K
42,Federal-gov,339743,Assoc-acdm,6,Married-civ-spouse,Prof-specialty,Husband,Black,Female,93454,4459,81,Mexico,>50K
61,Without-pay,327957,11th,5,Married-civ-spouse,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,25396,7339,39,India,>50K
43,Federal-gov,439973,7th-8th,11,Divorced,Tech-support,Husband,Asian-Pac-Islander,Male,1326,5982,74,United-States,<=50K
43,State-gov,394671,11th,3,Married-civ-spouse,Other-service,Own-child,White,Male,67605,8237,65,United-States,>50K
77,Local-gov,178276,Assoc-acdm,14,Separated,Craft-repair,Own-child,Other,Female,52020,1504,80,Jamaica,>50K
79,State-gov,16949,10th,9,Divorced,Exec-managerial,Own-child,Black,Male,99300,6869,73,Mexico,>50K
27,Private,271385,Bachelors,10,Separated,Tech-support,Wife,White,Male,40724,2795,50,Canada,>50K
64,Never-worked,61700,7th-8th,7,Married-civ-spouse,Sales,Wife,Black,Female,33503,6900,76,Mexico,>50K
55,Private,30777,10th,14,Widowed,Tech-support,Wife,Asian-Pac-Islander,Female,80260,4754,79,Cuba,<=50K
63,Self-emp-not-inc,315389,Assoc-voc,16,Widowed,Craft-repair,Own-child,Other,Female,34982,7399,11,Germany,>50K
25,Local-gov,79094,Bachelors,1,Never-married,Sales,Not-in-family,White,Male,6140,4108,79,Cuba,<=50K
63,Federal-gov,222843,HS-grad,8,Married-civ-spouse,Prof-specialty,Own-child,White,Male,60370,837,14,India,>50K
49,Private,171121,7th-8th,10,Divorced,Craft-repair,Own-child,Other,Male,6026,3929,81,India,>50K
54,State-gov,238513,Some-college,10,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,38921,2363,26,Cuba,>50K
57,Local-gov,240549,10th,8,Married-civ-spouse,Craft-repair,Own-child,Black,Female,77777,2624,52,United-States,>50K
19,Without-pay,355381,7th-8th,1,Married-civ-spouse,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,48489,5842,24,Cuba,>50K
35,Private,246027,7th-8th,5,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,19021,7262,65,Mexico,>50K
27,Private,245030,11th,13,Divorced,Craft-repair,Husband,Other,Male,53994,7369,95,India,>50K
32,Self-emp-not-inc,76181,7th-8th,16,Separated,Exec-managerial,Unmarried,Black,Female,54309,4905,33,Germany,<=50K
18,Local-gov,52709,Masters,10,Never-married,Sales,Unmarried,Asian-Pac-Islander,Male,5,339,86,Mexico,>50K
86,Self-emp-not-inc,496653,7th-8th,13,Separated,Craft-repair,Unmarried,Black,Male,99409,9747,35,Mexico,<=50K
75,Private,428040,Assoc-acdm,5,Never-married,Other-service,Own-child,White,Female,9230,1738,99,Germany,<=50K
64,Never-worked,297591,11th,12,Divorced,Craft-repair,Unmarried,Other,Female,49378,7003,96,Canada,<=50K
38,State-gov,48407,Masters,16,Never-married,Other-service,Not-in-family,Other,Male,47579,2256,96,Mexico,>50K
59,Without-pay,344988,10th,14,Never-married,Other-service,Not-in-family,White,Female,43027,8644,56,Canada,<=50K
27,Local-gov,237636,HS-grad,14,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Female,28684,4043,8,Canada,>50K
50,State-gov,90288,11th,16,Never-married,Craft-repair,Husband,Asian-Pac-Islander,Female,48508,831,17,Canada,>50K
34,Local-gov,384536,Bachelors,3,Widowed,Craft-repair,Unmarried,Other,Male,23491,8980,39,India,>50K
64,Without-pay,397019,11th,15,Married-civ-spouse,Craft-repair,Husband,Black,Female,25828,9332,48,Mexico,>50K
67,Federal-gov,295411,11th,6,Separated,Prof-specialty,Own-child,Other,Male,92532,7402,63,United-States,<=50K
24,Without-pay,290198,11th,12,Divorced,Exec-managerial,Unmarried,Other,Male,35462,7680,21,India,<=50K
63,Private,255320,7th-8th,7,Divorced,Tech-support,Wife,Asian-Pac-Islander,Female,68856,9471,56,United-States,<=50K
34,State-gov,103381,HS-grad,10,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Male,35936,4440,25,Jamaica,<=50K
23,Federal-gov,295395,HS-grad,3,Divorced,Sales,Not-in-family,White,Female,71328,3495,61,Germany,>50K
42,Federal-gov,462672,10th,8,Never-married,Other-service,Not-in-family,Black,Female,42321,8503,78,Canada,>50K
22,State-gov,48910,Assoc-voc,14,Never-married,Prof-specialty,Wife,White,Male,65799,646,5,Cuba,>50K
65,Self-emp-not-inc,318002,Some-college,11,Divorced,Other-service,Unmarried,Black,Male,57278,2547,19,Germany,<=50K
61,Private,260583,10th,4,Separated,Sales,Not-in-family,Black,Female,26905,8299,25,United-States,<=50K
26,Federal-gov,144024,10th,6,Separated,Tech-support,Wife,Amer-Indian-Eskimo,Male,50349,6203,69,Jamaica,<=50K
74,Local-gov,490766,Some-college,10,Divorced,Tech-support,Wife,Black,Female,32440,8603,81,United-States,<=50K
26,Never-worked,69433,7th-8th,9,Widowed,Sales,Own-child,Other,Male,78056,6573,90,Germany,<=50K
69,Never-worked,258926,Assoc-voc,11,Widowed,Sales,Unmarried,Amer-Indian-Eskimo,Female,87301,34,6,United-States,>50K
75,Self-emp-not-inc,368822,Masters,9,Married-civ-spouse,Sales,Own-child,Black,Male,23767,7112,20,India,<=50K
27,Private,78445,7th-8th,13,Married-civ-spouse,Prof-specialty,Own-child,Other,Male,51805,6718,36,Germany,>50K
44,Self-emp-not-inc,319308,7th-8th,13,Widowed,Sales,Own-child,White,Male,86023,1584,25,Mexico,>50K
60,Without-pay,218872,Bachelors,9,Married-civ-spouse,Tech-support,Husband,Other,Male,52511,6413,98,Canada,>50K
19,Never-worked,233377,Some-college,13,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,90583,4261,96,Mexico,>50K
88,State-gov,416298,10th,8,Separated,Exec-managerial,Own-child,Other,Male,95472,8008,19,India,<=50K
52,Private,228746,Assoc-acdm,3,Married-civ-spouse,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,25108,8469,67,Germany,<=50K
90,Without-pay,141886,Some-college,16,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,34233,886,82,Germany,>50K
77,Federal-gov,347270,HS-grad,7,Married-civ-spouse,Other-service,Husband,Other,Male,9726,7571,82,India,<=50K
39,Local-gov,33634,Some-college,2,Widowed,Tech-support,Wife,White,Female,13941,6385,80,Cuba,>50K
46,Without-pay,279838,Bachelors,13,Divorced,Other-service,Own-child,Amer-Indian-Eskimo,Female,42614,318,72,United-States,>50K
68,Never-worked,24081,Assoc-voc,3,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Female,50513,2685,57,India,<=50K
81,Federal-gov,59368,7th-8th,4,Married-civ-spouse,Sales,Own-child,Amer-Indian-Eskimo,Female,9391,8773,19,United-States,>50K
35,Never-worked,208919,10th,13,Divorced,Sales,Husband,White,Female,10669,9357,53,United-States,>50K
39,Local-gov,66804,Some-college,13,Divorced,Craft-repair,Unmarried,Black,Male,18341,8907,16,India,>50K
49,Private,31692,Assoc-voc,1,Widowed,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,47356,1212,44,Mexico,>50K
56,Private,398748,Assoc-voc,10,Separated,Exec-managerial,Unmarried,White,Male,37528,6996,76,United-States,<=50K
70,Never-worked,21997,Assoc-acdm,13,Divorced,Prof-specialty,Not-in-family,White,Female,30680,8579,55,Cuba,>50K
52,Self-emp-not-inc,312978,HS-grad,6,Widowed,Prof-specialty,Own-child,Asian-Pac-Islander,Female,24126,8169,43,Jamaica,>50K
73,Without-pay,73850,Bachelors,16,Widowed,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,36450,8254,96,Germany,<=50K
29,Private,328761,Assoc-voc,5,Separated,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,33292,8026,90,Canada,<=50K
87,State-gov,332984,HS-grad,9,Never-married,Prof-specialty,Wife,Black,Male,23678,4893,10,India,>50K
32,Self-emp-not-inc,499962,Some-college,1,Never-married,Tech-support,Unmarried,White,Male,67604,9598,62,United-States,<=50K
24,Self-emp-not-inc,367515,HS-grad,2,Separated,Prof-specialty,Wife,White,Female,57824,4859,29,Jamaica,<=50K
45,State-gov,52526,Masters,6,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Male,74021,8113,80,Cuba,<=50K
51,State-gov,208821,11th,2,Separated,Craft-repair,Own-child,Black,Female,78180,9432,15,Germany,<=50K
82,Local-gov,193307,Masters,10,Widowed,Exec-managerial,Own-child,Asian-Pac-Islander,Female,74303,3315,73,United-States,<=50K
48,State-gov,355192,10th,11,Divorced,Exec-managerial,Not-in-family,Other,Female,70223,9628,13,United-States,>50K
89,Federal-gov,69813,10th,4,Married-civ-spouse,Craft-repair,Wife,Other,Male,61419,1535,48,Canada,>50K
18,Self-emp-not-inc,419115,11th,13,Separated,Sales,Husband,Asian-Pac-Islander,Female,57030,663,89,Mexico,>50K
76,State-gov,238913,Some-college,16,Married-civ-spouse,Sales,Own-child,White,Male,27903,7174,95,Germany,>50K
47,Without-pay,276099,HS-grad,10,Separated,Craft-repair,Husband,Amer-Indian-Eskimo,Male,33015,5055,71,United-States,<=50K
40,Never-worked,404688,11th,4,Separated,Sales,Own-child,Black,Male,9099,3705,67,United-States,>50K
61,State-gov,70627,7th-8th,7,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Female,40112,3007,16,Canada,>50K
34,Local-gov,382070,7th-8th,11,Separated,Sales,Not-in-family,White,Female,49312,2077,80,India,<=50K
40,State-gov,342502,Assoc-acdm,13,Separated,Prof-specialty,Husband,Black,Female,68099,159,30,Canada,<=50K
52,Local-gov,347979,HS-grad,13,Widowed,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,4425,8950,31,United-States,>50K
43,Private,481984,Some-college,14,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,35828,7293,64,Cuba,<=50K
85,Without-pay,344500,Bachelors,9,Separated,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,90494,5422,73,United-States,>50K
62,Never-worked,80864,11th,15,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,43956,3558,49,Jamaica,>50K
54,Federal-gov,233930,HS-grad,3,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Female,98492,5424,76,Cuba,>50K
24,Private,288763,Bachelors,12,Separated,Craft-repair,Own-child,White,Male,90414,4583,57,Germany,<=50K
23,Self-emp-not-inc,225097,7th-8th,7,Never-married,Exec-managerial,Not-in-family,Black,Female,45618,1096,29,Cuba,>50K
55,Without-pay,146074,10th,10,Never-married,Sales,Unmarried,Other,Female,10705,8268,23,Mexico,<=50K
80,State-gov,488661,Bachelors,7,Separated,Other-service,Not-in-family,Other,Male,77702,7570,9,Canada,<=50K
76,Federal-gov,393683,10th,14,Separated,Prof-specialty,Husband,White,Male,74953,3924,72,Mexico,<=50K
73,Without-pay,114655,Assoc-acdm,3,Married-civ-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Male,2921,2141,72,Canada,<=50K
87,Without-pay,146522,Assoc-voc,8,Never-married,Sales,Husband,White,Male,13682,5009,39,United-States,<=50K
42,Self-emp-not-inc,177028,10th,5,Never-married,Sales,Wife,Other,Male,56145,6667,87,Jamaica,<=50K
79,Never-worked,480574,HS-grad,10,Married-civ-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Female,80637,3683,46,Mexico,>50K
39,Without-pay,446901,10th,16,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,33919,7845,48,India,<=50K
24,Without-pay,285854,Bachelors,4,Married-civ-spouse,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,61302,5922,96,Mexico,>50K
48,Without-pay,132441,Assoc-acdm,1,Never-married,Other-service,Husband,Black,Female,1932,7435,28,Canada,>50K
56,Private,38262,Bachelors,10,Divorced,Sales,Wife,Black,Female,99133,6359,97,Jamaica,>50K
75,Never-worked,301666,10th,3,Married-civ-spouse,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,57507,5409,92,India,>50K
48,Private,139414,Some-college,9,Married-civ-spouse,Sales,Own-child,White,Female,34235,3632,65,Jamaica,<=50K
24,Without-pay,266407,Some-college,1,Separated,Sales,Own-child,Other,Female,60316,6122,32,Germany,<=50K
27,State-gov,468066,Some-college,15,Married-civ-spouse,Exec-managerial,Unmarried,Other,Female,56234,793,7,Germany,>50K
70,Private,436083,Masters,12,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,65919,8904,80,United-States,<=50K
77,Private,49243,Assoc-voc,8,Married-civ-spouse,Tech-support,Unmarried,Other,Male,91245,7937,39,Jamaica,<=50K
85,Never-worked,397966,11th,8,Divorced,Sales,Not-in-family,Other,Male,75312,8658,28,United-States,>50K
20,Without-pay,168650,Assoc-acdm,6,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,63929,4240,36,United-States,>50K
26,Local-gov,15501,11th,8,Divorced,Sales,Husband,Black,Male,43297,1427,5,Canada,>50K
70,Self-emp-not-inc,429278,10th,13,Never-married,Prof-specialty,Own-child,Black,Male,52136,7435,66,United-States,>50K
38,Never-worked,131607,Bachelors,7,Separated,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,96680,3494,97,Cuba,>50K
54,Local-gov,488894,Masters,10,Separated,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,59414,3630,76,India,>50K
29,Self-emp-not-inc,78472,11th,11,Widowed,Tech-support,Not-in-family,White,Female,74989,5432,96,Cuba,>50K
47,Never-worked,171154,11th,15,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Female,88154,4398,11,Canada,<=50K
65,Private,145093,Bachelors,16,Married-civ-spouse,Other-service,Wife,Other,Male,8586,5652,92,Cuba,<=50K
71,Without-pay,410500,7th-8th,16,Widowed,Exec-managerial,Not-in-family,White,Female,48414,1444,15,Mexico,>50K
73,Never-worked,195428,Masters,1,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Female,49244,8854,30,Canada,<=50K
82,Self-emp-not-inc,321573,Masters,3,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Male,84049,7103,68,Cuba,<=50K
23,State-gov,347200,Some-college,6,Separated,Prof-specialty,Unmarried,White,Female,93340,679,83,Mexico,<=50K
50,Self-emp-not-inc,276220,Assoc-acdm,9,Married-civ-spouse,Craft-repair,Wife,Other,Female,89073,1241,14,United-States,>50K
58,Self-emp-not-inc,422443,7th-8th,14,Separated,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,95271,6067,97,Mexico,<=50K
41,Private,328523,HS-grad,7,Divorced,Craft-repair,Husband,White,Male,95280,2047,99,Jamaica,<=50K
83,Private,313714,Some-college,8,Married-civ-spouse,Prof-specialty,Husband,Other,Male,99507,6098,14,United-States,>50K
67,Local-gov,296765,7th-8th,2,Never-married,Sales,Husband,Amer-Indian-Eskimo,Male,40957,9960,46,Jamaica,<=50K
69,Federal-gov,116870,Bachelors,14,Married-civ-spouse,Craft-repair,Unmarried,White,Female,39237,6747,93,Mexico,>50K
86,Never-worked,337933,Assoc-acdm,6,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Male,21633,715,89,United-States,>50K
28,Without-pay,21020,11th,12,Divorced,Exec-managerial,Unmarried,Other,Male,52579,7642,52,Canada,<=50K
40,Federal-gov,77225,Bachelors,3,Never-married,Sales,Wife,Black,Female,93925,6967,61,Jamaica,<=50K
55,State-gov,362253,10th,9,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Female,72360,7705,29,Canada,>50K
25,Local-gov,420567,Assoc-acdm,3,Divorced,Sales,Wife,Black,Female,58475,4181,96,India,<=50K
72,Private,400538,Some-college,15,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Female,67053,4822,45,India,<=50K
42,Never-worked,78085,Masters,8,Never-married,Craft-repair,Own-child,Other,Male,37762,2725,82,Germany,>50K
21,Private,287130,Bachelors,12,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Male,28785,7847,31,Mexico,<=50K
26,Federal-gov,158145,Some-college,3,Separated,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,11750,8246,47,Germany,>50K
32,Without-pay,327868,Bachelors,13,Never-married,Sales,Own-child,Other,Female,21034,8457,85,Canada,>50K
18,Federal-gov,258118,7th-8th,3,Divorced,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,44545,8917,77,Canada,<=50K
33,Never-worked,462517,11th,10,Widowed,Sales,Not-in-family,Amer-Indian-Eskimo,Female,48419,7981,48,India,<=50K
30,Without-pay,357301,Bachelors,3,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Male,13402,1837,6,India,<=50K
37,State-gov,314230,HS-grad,9,Separated,Sales,Own-child,Asian-Pac-Islander,Male,51086,6623,59,Cuba,>50K
67,Private,273446,Assoc-voc,14,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,93576,6656,3,Germany,<=50K
62,State-gov,198549,HS-grad,4,Widowed,Craft-repair,Unmarried,Black,Female,93820,5347,63,Germany,>50K
46,State-gov,266520,Bachelors,15,Separated,Prof-specialty,Not-in-family,White,Male,52163,3406,68,Mexico,>50K
26,Without-pay,380865,Assoc-acdm,2,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,95981,1243,76,Cuba,<=50K
27,Never-worked,290436,11th,15,Separated,Tech-support,Husband,Asian-Pac-Islander,Female,43623,8626,23,Cuba,<=50K
36,Self-emp-not-inc,191257,11th,16,Separated,Tech-support,Unmarried,Black,Male,62621,5161,6,Cuba,<=50K
24,Private,251983,11th,13,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,38716,4525,60,India,<=50K
67,Private,261665,Assoc-voc,16,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,57399,5655,26,Cuba,>50K
69,Private,245575,Assoc-voc,5,Never-married,Craft-repair,Own-child,White,Male,71274,1187,23,Canada,<=50K
41,Never-worked,324805,11th,1,Widowed,Exec-managerial,Husband,White,Female,3168,9215,33,Cuba,<=50K
65,Never-worked,235474,HS-grad,9,Divorced,Other-service,Husband,Other,Female,60653,8139,54,Jamaica,<=50K
28,Self-emp-not-inc,428557,Assoc-acdm,2,Never-married,Tech-support,Unmarried,White,Male,32142,4811,36,United-States,>50K
67,Federal-gov,486771,Bachelors,11,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Female,920,8552,97,United-States,<=50K
73,Without-pay,450763,HS-grad,4,Divorced,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,65639,6938,97,Canada,>50K
42,Private,105967,Some-college,6,Never-married,Prof-specialty,Wife,White,Male,19992,6662,62,India,>50K
90,Local-gov,286020,HS-grad,13,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,89163,8600,42,Canada,>50K
77,Never-worked,344654,Bachelors,14,Separated,Tech-support,Unmarried,Other,Male,71689,6623,59,Canada,<=50K
38,Never-worked,49982,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,88719,9524,25,Cuba,>50K
85,Federal-gov,210751,11th,1,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Male,34530,3697,68,Germany,>50K
81,State-gov,205879,Assoc-voc,1,Widowed,Exec-managerial,Wife,Black,Male,15775,972,79,Jamaica,<=50K
45,Never-worked,211092,HS-grad,3,Widowed,Craft-repair,Husband,Other,Female,81558,1838,39,United-States,<=50K
48,Self-emp-not-inc,456894,Assoc-voc,8,Separated,Craft-repair,Wife,White,Female,55709,999,80,Cuba,>50K
67,Private,366124,Some-college,2,Never-married,Sales,Husband,Black,Female,91391,6738,77,Mexico,<=50K
20,Private,334457,Assoc-voc,4,Widowed,Craft-repair,Husband,Other,Male,72840,2679,75,United-States,>50K
19,Local-gov,108873,Bachelors,5,Divorced,Prof-specialty,Own-child,White,Male,59667,8932,63,United-States,>50K
76,Never-worked,280683,10th,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,93094,2514,42,Germany,>50K
34,Local-gov,198001,Assoc-acdm,5,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,20911,6831,56,Jamaica,>50K
53,Local-gov,389909,7th-8th,8,Married-civ-spouse,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,21074,5044,38,United-States,>50K
26,State-gov,243801,Some-college,3,Widowed,Tech-support,Husband,Black,Female,98482,6858,24,Cuba,>50K
64,Self-emp-not-inc,459831,Assoc-acdm,15,Separated,Other-service,Unmarried,Asian-Pac-Islander,Male,64365,3573,52,India,>50K
20,Local-gov,95935,Masters,2,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,85219,8336,31,Mexico,>50K
33,Federal-gov,98435,Assoc-voc,1,Married-civ-spouse,Other-service,Own-child,Asian-Pac-Islander,Male,60164,4422,4,Jamaica,>50K
47,Private,33660,Bachelors,3,Separated,Other-service,Own-child,Other,Female,15056,2262,94,Jamaica,<=50K
